Question,Q.Image
What should the driver of the car approaching the crossing do?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/180.Q.png
What should the driver of the grey car be especially aware of?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/181.Q.png
What should you expect if you see this sign ahead?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/182.Q.png
What should you do as you approach this cyclist?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/183.Q.png
Why must you take great care when emerging from this junction?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/184.Q.png
Which type of vehicle should you be ready to give way to as you approach this bridge?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/185.Q.png
What type of vehicle could you expect to meet in the middle of the road?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/186.Q.png
What must you do at this junction?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/187.Q.png
"What should you do if a driver pulls out of a side road in front of you, causing you to brake hard?",
How would age affect an older person's driving ability?,
Do you need to plan rest stops when you're planning a long journey?,
What should you do if the red lights start flashing as you approach a level crossing?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/191.Q.png
You're approaching a crossroads. What should you do if the traffic lights have failed?,
What should the driver of the red car (arrowed) do?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/193.Q.png
You're following a slower-moving vehicle. What should you do if there's a junction just ahead on the right?,
What should you do as you approach this overhead bridge?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/195.Q.png
Why are vehicle mirrors often slightly curved (convex)?,
You're on a three-lane motorway. How should you overtake a slow-moving lorry in the middle lane if it's showing this sign?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/197.Q.png
What should you do if you think the driver of the vehicle in front has forgotten to cancel their right indicator?,
What's the main hazard the driver of the red car (arrowed) should be aware of?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/199.Q.png
What type of vehicle displays this yellow sign?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/200.Q.png
What hazard should you be aware of when travelling along this street?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/201.Q.png
What's the main hazard you should be aware of when following this cyclist?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/202.Q.png
A driver's behaviour has upset you. How can you get over this incident safely?,
How should you drive in areas with traffic-calming measures?,
Why should you slow down as you approach this hazard?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/205.Q.png
Why are place names painted on the road surface?,
Some two-way roads are divided into three lanes. Why are they particularly dangerous?,
What type of vehicle uses an amber flashing beacon on a dual carriageway?,
What does this signal from a police officer mean to oncoming traffic?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/209.Q.png
Why should you be cautious when going past this bus waiting at a bus stop?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/210.Q.png
Where would it be unsafe to overtake?,
How can drinking alcohol affect your ability to drive?,
What does the solid white line at the side of the road indicate?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/213.Q.png
You're driving towards this level crossing. What would be the first warning of an approaching train?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/214.Q.png
"You're behind this cyclist. When the traffic lights change, what should you do?",https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/215.Q.png
You intend to turn left at the traffic lights. What should you do just before turning?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/216.Q.png
Why should you reduce your speed here?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/217.Q.png
What might you expect to happen in this situation?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/218.Q.png
You're driving on a road with several lanes. What do these signs above the lanes mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/219.Q.png
You're invited to a pub lunch. What should you do if you know that you'll have to drive in the evening?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/220.Q.png
What will become more expensive after you've been convicted of driving while unfit through drink or drugs?,
What advice should you give to a driver who has had a few alcoholic drinks at a party?,
What should you do about driving if you've been taking medicine that causes drowsiness?,
What should you do if a doctor prescribes drugs that are likely to affect your driving?,
What must you do if your ability to drive is impaired during a period of illness?,
What should you do if you begin to feel drowsy while you're driving?,
What should you do if you become tired while you're driving on a motorway?,
You're about to drive home. What should you do if you feel very tired and have a severe headache?,
What can you do to help prevent tiredness on a long journey?,
You take some cough medicine given to you by a friend. What should you do before driving your car?,
You're driving on a one-way street. What should you do if you realise you've taken the wrong route?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/231.Q.png
What will be a serious distraction while you're driving?,
What should you do if the vehicle starts reversing off the driveway?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/233.Q.png
You've been involved in an argument that's made you feel angry. What should you do before starting your journey?,
You're driving on this dual carriageway. Why may you need to slow down?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/235.Q.png
You've just been overtaken by this motorcyclist. What should you do if the rider cuts in sharply?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/236.Q.png
You're about to drive your car. What should you do if you can't find the glasses you need to wear?,
How does drinking alcohol affect your driving behaviour?,
Why should you check the information leaflet before taking any medicine?,
You need glasses to read a vehicle number plate at the required distance. When must you wear them?,
Which type of glasses would make driving at night more difficult?,
What can seriously reduce your ability to concentrate?,
What must you do if your eyesight has become very poor and you're no longer able to meet the driver's eyesight requirements?,
When should you use hazard warning lights?,
You want to turn left at this junction. What should you do if your view of the main road is restricted?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/245.Q.png
You're driving a car ftted with automatic transmission. When would you use 'kick down'?,
What should you do if it's raining and you're following this lorry on a motorway?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/247.Q.png
You're driving towards this left-hand bend. What danger should you be anticipating?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/248.Q.png
What should you do if the traffic in the left-hand lane is slowing?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/249.Q.png
When may you use hazard warning lights?,
You're waiting to emerge at a junction. Your view is restricted by parked vehicles. What can help you to see traffic on the road you're joining?,
What must you do if poor health affects your driving?,
Why should the junction on the left be kept clear?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/253.Q.png
What should you do if you start to feel drowsy while you're driving on a motorway?,
Which sign means that there may be people walking along the road?,
What should you do if you want to turn left at a junction where pedestrians have started to cross?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/256.Q.png
What hazard should you be especially aware of if you're turning left into a side road?,
Why should you check for motorcyclists just before turning right into a side road?,
Why is a toucan crossing different from other crossings?,
How will a school crossing patrol signal you to stop?,
Where would you see this sign?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/261.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/262.Q.png
You see a pedestrian carrying a white stick that also has a red band. What does this mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/263.Q.png
What should you do if you see older people crossing the road ahead?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/264.Q.png
What should you do when you see an older person about to cross the road ahead?,
You're approaching a roundabout. What should you do if a cyclist ahead is signalling to turn right?,
Which vehicle should you allow extra room as you overtake them?,
Why should you look carefully for motorcyclists and cyclists at junctions?,
You're waiting to come out of a side road. Why should you look carefully for motorcycles?,
Why do motorcyclists use dipped headlights in daylight?,
Why do motorcyclists wear bright clothing?,
Why do motorcyclists often look round over their right shoulder just before turning right?,
Which is the most vulnerable road user?,
You're approaching a roundabout. What should you do if there are horses being ridden in front of you?,
"As you approach a pelican crossing, the lights change to green. What should you do if older people are still crossing?",
What action should you take when you see flashing amber lights under a school warning sign?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/276.Q.png
Why should these road markings be kept clear?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/277.Q.png
Where would you see this sign?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/278.Q.png
You're following two cyclists as they approach a roundabout in the left-hand lane. Where would you expect the cyclists to go?,
You're travelling behind a moped. What should you do if you want to turn left a short distance ahead?,
You see a horse rider as you approach a roundabout. What should you do if they're signalling right but keeping well to the left?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/281.Q.png
How should you react to inexperienced drivers?,
What should you do when you're following a learner driver who stalls at a junction?,
You're on a country road that has no pavement. What should you anticipate finding on your side of the road?,
You're following a cyclist. What should you do when you wish to turn left a short distance ahead?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/285.Q.png
A horse rider is in the left-hand lane approaching a roundabout. Where should you expect the rider to go?,
Powered vehicles used by disabled people are small and can be hard to see. What must they display if they're travelling on a dual carriageway?,
What does it mean when a moving vehicle is showing a flashing amber beacon?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/289.Q.png
What should you do when you see these horse riders in front?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/290.Q.png
What's the purpose of these road markings?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/291.Q.png
What should you do if the left-hand pavement is closed due to street repairs?,
What should you do when you're following a motorcyclist along a road that has a poor surface?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/294.Q.png
You're approaching this roundabout. What should you do when a cyclist is keeping to the left while signalling to turn right?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/295.Q.png
What should you do when you're approaching this crossing?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/296.Q.png
What does it mean if you see a pedestrian with a dog that has a yellow or burgundy coat?,
Who may use toucan crossing?,
"This junction, controlled by traffic lights, has a marked area between two stop lines. What's this for?",https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/299.Q.png
You're about to overtake a cyclist. Why should you leave them as much room as you would give to a car?,
What should you do when you're passing loose sheep on the road?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/301.Q.png
"At night, what does it mean if you see a pedestrian wearing reflective clothing and carrying a bright red light?",
You've just passed your driving test. How can you reduce your risk of being involved in a collision?,
You want to reverse into a side road. What should you do if you aren't sure that the area behind your car is clear?,
You're about to reverse into a side road. What should you do if a pedestrian is waiting to cross behind your car?,
Which road users are most difficult to see when you're reversing your car?,
You want to turn right from a junction. What should you do if your view is restricted by parked vehicles?,
You're at the front of a queue of traffic waiting to turn right into a side road. Why is it important to check your right mirror just before turning?,
You've driven up to a pelican crossing. What must you do while the amber light is flashing?,
You've stopped at a pelican crossing. What should you do if a disabled person is crossing slowly in front of you and the lights change to green?,
You're driving past a line of parked cars. What should you do if a ball bounces out into the road ahead?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/311.Q.png
You want to turn right from a main road into a side road. What should you do just before turning?,
You're driving in a slow-moving queue of traffic. What should you do just before changing lane?,
You're driving in town. Why should you be careful if there's a bus at a bus stop on the other side of the road?,
How should you overtake horse riders?,
Why should you allow extra room while overtaking a motorcyclist on a windy day?,
Where should you take particular care to look for motorcyclists and cyclists?,
The road outside this school is marked with yellow zigzag lines. What do these lines mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/318.Q.png
You're driving past parked cars. What should you do if you see a bicycle wheel sticking out between the cars?,
You're driving at night. What should you do if you're dazzled by a vehicle behind you?,
You're driving towards a zebra crossing. What should you do if a person in a wheelchair is waiting to cross?,
You're turning right from a main road into a side road. There's no oncoming traffic. What should you do if pedestrians are standing on the pavement waiting to cross the side road?,
You're travelling on a narrow section of road. What should you do if a horse rider ahead is riding in the centre of the lane?,
You're about to overtake a cyclist on a road that has a 30 mph speed limit. How much room should you leave them as you overtake?,
You're turning left from amain road into a side road. What should you do if there's a pedestrian on the pavement waiting to cross the side road?,
You're about to overtake a slow-moving motorcyclist. Which sign would make you take sppecial care?,
"You're waiting to turn right out of a minor road. It's clear to the left but a lorry is coming from the right. Why should you wait, even if you have enough time to turn?",
You're following a long vehicle as it approaches a crossroads. What should you do if it signals left but moves out to the right?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/328.Q.png
You're following love vehicle approaching a crossroads. What should you do if the driver signals right but moves close to the left-hand kerb?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/329.Q.png
You're approaching a mini-roundabout. What should you do if a long vehicle in front signals left but positions over to the right?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/330.Q.png
You're driving on a single carriageway road. Why should you keep well back while you're following a large vehicle?,
You're travelling behind a bus. What should you do if it pulls up at a bus stop?,
You're following a lorry on a wet road. What should you do when spray makes it difficult to see the road ahead?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/333.Q.png
You're leaving a safe gap as you follow a large vehicle. What should you do if a car moves into this gap?,
What should you do when you're approaching a bus that's signalling to move away from a bus stop?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/335.Q.png
"What should you do if you want to overtake a long, slow-moving vehicle on a busy road?",
Which vehicles are least likely to be affected by side wind?,
What should you do as you approach this lorry?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/338.Q.png
You're following a large vehicle as it approaches a crossroads. What should you do if the driver signals to turn left?,
Why is it more difficult to overtake a large vehicle than a car?,
It's very windy. What should you do if you're behind a motocyclist who's overtaking a high-sided vehicle?,
What should you do if there's a bus at a bus stop ahead of you?,
What should you be prepared to do in this situation?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/343.Q.png
Why should drivers be more careful on roads where trams also operate?,
You're towing a caravan. Which is the safest type of rear-view mirror to use?,
You're driving in heavy traffic on a wet road. Which lights should you use if there's a lot of surface spray?,
What should you do if you overtake a cyclist when it's very windy?,
When may you overtake another vehicle on their left?,
You're travelling in very heavy rain. How is this likely to affect your overall stopping distance?,
What should you do when you're overtaking at night?,
When may you wait in a box junction?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/351.Q.png
Which plate may appear with this road sign?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/352.Q.png
What's the reason for traffic-calming measures?,
What colour are the reflective studs along the left-hand edge of the motorway?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/354.Q.png
What's a rumble device designed to do?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/355.Q.png
What should you do if you have to make a journey in foggy conditions?,
What must you do when you're overtaking a car at night?,
You're travelling on a road that has road humps. What should you do when the driver in front I travelling more slowly than you?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/358.Q.png
What's the purpose of the yellow lines painted across the road?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/359.Q.png
What should you do when you meet an oncoming vehicle on a single-track road?,
The road is wet. Why would a motorcyclist steer around drain covers while they were cornering?,
Why should you test your brakes after this hazard?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/362.Q.png
Why should you reduce your speed when you're driving or riding in fog?,
What will happen to your car when you drive up steep hill?,
You're driving on the motorway in windy conditions. What should you do as you overtake a high-sided vehicle?,
You're driving in fog. Why should you keep well back from the vehicle in front?,
What should you do if you park in the road when it's foggy?,
You're driving at night. What should you do if you're dazzled by headlights coming towards you?,
When may front fog lights be used?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/369.Q.png
You're driving with your front fog lights switched on. What should you do if the fog has cleared?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/370.Q.png
Why should you switch off your rear fog lights when the fog has cleared?,
What will happen if you use rear fog lights in good conditions?,
Why would you fit chains to your wheels?,
How can you use your vehicle's engine to control your speed?,
"Why could it be dangerous to keep the clutch down, or select neutral, for long periods of time while you're driving?",
You're driving on an icy road. What distance from the car in front should you drive?,
Which lights must you use if you're driving on a well-lit motorway at night?,
You're driving on a motorway at night. Which lights should you have on if there are other vehicles just ahead of you?,
What will affect your vehicle's stopping distance?,
When will you feel the effects of engine braking?,
Which lights should you switch on when daytime visibility is poor but not seriously reduced?,
Why are vehicles fitted with rear fog lights?,
There's been a heavy fall of snow. What should you consider before driving in these conditions?,
What should you check before you start a journey in foggy weather?,
You've been driving in fog. What must you do when the visibility improves?,
Why is it dangerous to leave rear fog lights switched on after the fog has cleared?,
What will happen if you hold the clutch pedal down or roll in neutral for too long?,
Why is it bad technique to coast when you're driving downhill?,
What should you do when dealing with this hazard?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/389.Q.png
Why is travelling in neutral for long distances (known as coasting) bad driving technique?,
When must you use dipped headlights during the day?,
You're joining a motorway from a slip road. How should you deal with traffic already on the motorway?,
What's the national speed limit on motorways for cars and motorcycles?,
Which vehicles should use the left-hand lane on a three-lane motorway?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/394.Q.png
Which vehicles aren't allowed to use the right-hand lane of a three-lane motorway?,
Your vehicle breaks down on a motorway and you need to call for help. Why might it be better to use an emergency roadside telephone rather than a mobile phone?,
"Your vehicle broke down on the hard shoulder of a motorway, but has now been repaired. How should you rejoin the main carriageway?",
You're travelling along a motorway. Where would you find a crawler or climbing lane?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/398.Q.png
